Project Name	Font Name	Why did you pick this font for this project?
(smoke) free	Press Start 2P	It seems like it should be comicky.
༼ ºل͟º༼ ºل͟º ༽ºل͟º ༽ºل͟º ༽	Open Sans	Matches the modern look and feel I got from your paper prototype
༼ ºل͟º༼ ºل͟º ༽ºل͟º ༽ºل͟º ༽	Lato	Modern, simple font seems best for a way to technologically order something like instructions
3 Peas in a Pod	Bree Serif 	looks trustworthy and professional but not aloof
3 Peas in a Pod	Montserrat	I think it suits the playful feel of pets.
3 Peas in a Pod	Calligraffitti	Peas is a weird word, and hard to find a font that doesn't make it look strange.  It seemed like the team wanted to make something warm and approachable yet trustworthy, which led to my favoring of an slightly slanted script.
3 Peas in a Pod	Lobster	it is a cute font that looks memorable and is appropriate for something pet related
3 Peas in a Pod	Jura	Looks techy
3 Peas in a Pod	Skia	It's just friendly enough to fit with the not-so-serious team name, but looks just professional enough to suggest that they would be a trustworthy resource for connecting people to pet sitters.
3 Peas in a Pod	Montserrat by Julieta	Seems formal enough but also interesting and not overused. Wasn't really enough time to do an in depth analysis of your project.
99 Victors but Victor Ain't One	Noto Sans	Clean and simple, like how you hope the process to be
99 Victors but Victor Ain't One	News Cycle	Simple, clean, easy-to-use, modern also your project name is funny but not descriptive of your project lol
99 Victors but Victor Ain't One	Bangers	whimsical font for a whimsical name
99 Victors but Victor Ain't One	Alfa Slab One	I just based it on the name because my computer is slow and couldn't open your wiki.
99 Victors but Victor Ain't One	Varela	This is a clear font for labels and instructions.
99 Victors but Victor Ain't One	Alegreya Sans	Nice clean font with few frills.  The site is not about artsy stuff, so it doesn't need an artsy font.
99 Victors but Victor Ain't One	roboto slam	easy to read for a long title
99 Victors but Victor Ain't One	Covered By Your Grace	This site is about volunteering and this font looks like signs hand-written for volunteer events.
99 Victors but Victor Ain't One	Architects Daughter	This application has a more playful name, which is reflected in the font. 
99 Victors but Victor Ain't One	Alegreya	I was trying to find a traditional looking serif, but ran out of time for one that I really liked. I might also try performing some kind of distinction between "99 victors' and "but Victor Ain't one", as the word "victor" has a really traditional feel to it but "ain't" is very very casual. This difference in feel in the title might be accented by including two different fonts in the logo.
99 Victors but Victor Ain't One	Optima	It's a modern-looking sans-serif font, but it's somewhat informal looking, in line with their pop-culture-referencing team name.
à¼¼ ÂºÙ„ÍŸÂºà¼¼ ÂºÙ„ÍŸÂº à¼½ÂºÙ„ÍŸÂº à¼½ÂºÙ„ÍŸÂº à¼½	Lora	It gives solid "/"s for the fractions which I felt was most important
Aika	Dancing Script	The project is for photography artists. Thus I chose a font which has a art sense in it.
Aika	Lobster	The wiki is being particularly slow and not loading, so I don't have the context of the problem statement to help. However, this font is bold, solid, and looks nice on short selections of text, which fits Aika well.
Aika	Poiret One	The project is web design for artists. This light, sans-serif font is elegant and visually appealing. 
Aika	Shadows Into Light	http://www.google.com/fonts/specimen/Shadows+Into+Light  It's light, and looks handwritten and gives an "artsy", "designed" feel to it.
Aika	Hind	It just feels like "professional" and "art"
Aika	Lobster	The project is related to artistic work, and Lobster seems to adhere to that tone while remaining fairly readable.
Aika	Kaushan Script	For professional artist, the font resembles brush strokes of varying stroke width and is still clear to read for professionalism 
Aika	Lato	It looked professional, but not overly serious or formal. It was clean with a hint of fun. 
Aika	Khand All Caps	This is a very clean, modern font that would appeal to designers. 
Aika	Poiret One	They are making it for artists, I chose something that was light-weight to not seem forceful to artists, also clean
aJACKS	Slabo	This font conveys a serious tone with its serifs and thing strokes. This is good, sinve ourbiggest user group would be professors
aJACS	Slabo	It looks good with the 4 letter name.
aJACS	Roboto Slab	no nonsense but looks great on capital letters (important for you)
aJACS	Lato	it seems very easy to read due to the kerning on the font (which is helpful for older professors) and appears very professional. Therefore I believe it would be a good font for an application designed to help professors and TAs with learning names
aJACS	Caslon	From viewing the groups prototypes, it seems that they will be displaying many names at a single time.  I think a serif font would make readability much easier when displaying many names all at once.  However, if the group decides to display not as many names at a time, a sans-serif font may be more appropriate given that a name is generally more like a label or important feature.
aJACS	Lora	Looks classic and professional, like a professor may use it
aJACS	Hammersmith One	This would be a good font for names because it is halfway between a title font and a body font. It calls attention to itself, but it could be used in a short list or next to a photo.
aJACS	Indie Flower	The project aims to solve the problem of professors not remembering the names of their students so i thought Indie Flower, which actually makes the project name hard to read (and thus remember), kind of mimics this difficulty. 
aJACS	Open Sans Condensed	It has a clean feel to it, which fits with their clean interface.
aJACS	Oswald	aJACS was I think taken from the team member names, to just be a cool-sounding, quirky, modern name with the feel of cool/important abbreviations. Oswald does this (it is tall, bold, (important), quirky, modern (no serif)).
Aladdin	Droid Sans	Again, I thought that the way this font was spaced and displayed, it was very easy to recognize whole words.
Aladdin	Amatic SC	Looks kid friendly and fun
Aladdin	Shadows Into Light	Aladdin helps parents keep track of information about their children; I wanted a playful font to reflect that.
Aladdin	Carme	clean, sans serif font, to make people think it is trustworthy and modern.
Aladdin	Cinzel	The project is about overseeing your children's lives, so Aladdin needs a font that is professional and reassuring. I think Cinzel gives them the authoritative, professional look with all caps, plus it's a serif, which gives it that reassuring, familiar feel. It may need a color that makes it softer (more inviting).
Aladdin	Coming Soon	reminds me of children, which is the main theme of the project
Aladdin	Cantata One	It looks traditional and secure, like a big established company you can trust with important stuff.
Apollo	Oswald	i can't access the wiki, but the font looks cool for the word "apollo"!
Apollo	Domine	Easy to read but stands out as different from default fonts, shows you made an effort to find font instead of just using default, but also not different enough to cause reading problems
Apollo	Orbitron	I chose this font because Apollo is a space related name and this font as a space feel to it.
Apollo	Slabo, Titillium Web, Maven pro	since it's a website for cancer patients. I decided to go for a more professional simplistic font. 
Apollo	Bangers	The bangers font is all caps, and it fits the Apollo name in the sense that "Apollo" has a lot of meaning embedded in it. Apollo was a momentous moment in human history, and it should be such for this log as well.
Apollo	Cabin	Sans serif fonts are good for headers/logos, and Cabin strikes a good balance between professional and casual, suitable for something for personal medical use.
Asian on Occasion	Nunito	idk
Asian on Occasion	Open Sans Condensed	It looks professional, which would add credibility, and it is spaced fairly small so that the long name is more condensed
Asian on Occasion	Tangerine	This font had an oriental feel to it 
Asian on Occasion	Indie Flower	It looks very oriental
Asian on Occasion	Lora	professional and classy, serious topic so can't be too childish
Asian on Occasion	Josefin Sans	Font has good spacing, making it appear to have less value, but still not too "serious"/"classical".
Asian on Occasion	Special Elite	Your project is about helping smokers- special elite has that serious/grunge/vibe that a self-help for smokers website might want to look into
Assure	Archivo Narrow	It shows sincerity
Assure	Playball	This font feels reassuring and welcoming which is important for the users because they are entrusting important people to this project
Assure	Lato	http://www.google.com/fonts/specimen/Lato  This is a very clean font that is very easy to read.
Assure	Patua One	The heavy weight and solid positioning (no slanting) evokes seriousness and dependability. The value is dark.
Assure	Arvo	Since the project is for grad students, the font can be a bit less traditional, but still convey reliability.
Assure	Garamond	Budgeting app or anything with financials should have a proper and easily readable font.
Assure	Lora	Went for something simple, professional, and eliciting trust.
Assure	Playfair Display	looks professional and reliable, which is necessary for your topic
Assure	Bitter	The fon't has strong value and looks formal with all the serifs, making it suitable for a financial application.
blank text box	Open Sans	its a playful, modern text 
Blank Text Box	Marvel	Because this font has high ascenders, get it? it's an app for climbers.
Blank Text Box	Lora	A serif font is actually pretty appropriate for such a meta team name.
Blank Text Box	Technical Medium	Its a fun font for rock climbing.
Blank Text Box	Oxygen	No serifs. Quick and easy to read
Blank Text Box	Josefin Sans	Blank Text Box is simple, so is the font
Blank Text Box	Open Sans Condensed	 and Poiret One, Abel  any boxy one
Blank Text Box	Josefin Sans	Blank Text Box is simple, so is the font
Blank Text Box- Climb Your World	Cabin	Easy to read and stands out
Chupacabras	Yanone Kaffeesatz	Chupacabras sounds like a project that is intended to be more fun than serious.  This font reflects that.
chupacabras	nova round	professional yet modern and minimalist
